ObjectID,RevisitID,Reporter,OccStatus,Status,RevisitDate,DateEnt,DateUp,Location,Latitude,Longitude,Datum,CoordAcc,Abundance,InfestAcre,GrossAcre,PercentCov,Density,Quantity,QuantityU,APPXQuant,NumCollect,Incidence,Severity,ManageStat,PopStat,RecBasis,UUID,RecSrcTyp,VisitType,PlantTreat,TreatComm,Comments,ReviewDate,Reviewer,VerifyMthd,Verified,IDCred,ReviewComm
"2415480","9316983",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-20-11,03-12-13,,"Moore, North Carolina, United States","  35.25451"," -79.54451",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Basal bark treatment or cut & sprayed stumps with Pathfinder II herbicide.,,,,Verified,,
"2415480","9317025",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-20-11,05-17-13,,"Moore, North Carolina, United States","  35.25451"," -79.54451",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Basal bark treatment with Pathfinder II herbicide.,,,,Verified,,
"2415480","9317026",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,10-17-11,05-17-13,,"Moore, North Carolina, United States","  35.25451"," -79.54451",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Seedlings and stump sprouts treated with 4% glyphosate foliar spray.,,,,Verified,,
"2415480","9317027",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-13-12,05-17-13,,"Moore, North Carolina, United States","  35.25451"," -79.54451",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,LOTS of stump sprouts!  Cut saplings and treated stumps with Pathfinder II herbicide.,,,,Verified,,
"2415480","9317200",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-11-13,05-07-14,,"Moore, North Carolina, United States","  35.25451"," -79.54451",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Re-sprouts cut and stumps treated with Pathfinder II herbicide.,,,,Verified,,
"2415481","9316984",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-20-11,03-12-13,,"Moore, North Carolina, United States","  35.25331"," -79.54312",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Basal bark treatment or cut & sprayed stumps with Pathfinder II herbicide.,,,,Verified,,
"2415481","9317021",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-20-11,05-17-13,,"Moore, North Carolina, United States","  35.25331"," -79.54312",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Basal bark treatment with Pathfinder II herbicide.,,,,Verified,,
"2415482","9316985",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-20-11,03-12-13,,"Moore, North Carolina, United States","  35.25413"," -79.54348",WGS84,,,0.11,,,,,,,,,,,,,,Web Report,Treatment,,,Basal bark treatment or cut & sprayed stumps with Pathfinder II herbicide.,,,,Verified,,
"2415482","9317022",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-20-11,05-17-13,,"Moore, North Carolina, United States","  35.25413"," -79.54348",WGS84,,,0.11,,,,,,,,,,,,,,Web Report,Treatment,,,Basal bark treatment with Pathfinder II herbicide.,,,,Verified,,
"2415482","9317023",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,10-17-11,05-17-13,,"Moore, North Carolina, United States","  35.25413"," -79.54348",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Seedlings and stump sprouts treated with 4% glyphosate foliar spray.,,,,Verified,,
"2415482","9317024",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-13-12,05-17-13,,"Moore, North Carolina, United States","  35.25413"," -79.54348",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Seedlings & stump sprouts cut and stumps sprayed with Pathfinder II herbicide.,,,,Verified,,
"2415482","9317201",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-11-13,05-07-14,,"Moore, North Carolina, United States","  35.25413"," -79.54348",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Re-sprouts cut and stumps treated with Pathfinder II herbicide.,,,,Verified,,
"2415736","9317242",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-24-12,05-14-14,,"Moore, North Carolina, United States","  35.19970"," -79.56201",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Cut trees and saplings and sprayed the stumps with Pathfinder II herbicide.,,,,Verified,,
"2415737","9317234",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,08-31-12,05-14-14,,"Moore, North Carolina, United States","  35.20265"," -79.55987",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Cut saplings and sprayed the stumps with Pathfinder II herbicide.,,,,Verified,,
"2415737","9317235",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-06-13,05-14-14,,"Moore, North Carolina, United States","  35.20265"," -79.55987",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Cut re-srpouts and sprayed the stumps with Pathfinder II herbicide.,,,,Verified,,
"2415738","9317232",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,08-31-12,05-14-14,,"Moore, North Carolina, United States","  35.20367"," -79.56904",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Cut saplings and sprayed the stumps with Pathfinder II herbicide.,,,,Verified,,
"2415738","9317233",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-06-13,05-14-14,,"Moore, North Carolina, United States","  35.20367"," -79.56904",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Cut re-sprouts and sprayed the stumps with Pathfinder II herbicide.,,,,Verified,,
"2415740","9317244",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,08-29-12,05-14-14,,"Moore, North Carolina, United States","  35.19737"," -79.64902",WGS84,,,0.01,,,,,,,,,,,,,,Web Report,Treatment,,,Cut saplings and sprayed the stumps with Pathfinder II herbicide.,,,,Verified,,
"2415915","9316936",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,08-23-12,03-04-13,,"Moore, North Carolina, United States","  35.13101"," -79.39117",WGS84,,,0.01,,,,,,,,,,,,,,Web Report,Treatment,,,Basal bark treatment of 6 to 8 trees and saplings with Pathfinder II herbicide.,,,,Verified,,
"2415915","9317536",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-05-13,05-28-14,,"Moore, North Carolina, United States","  35.13101"," -79.39117",WGS84,,,0.01,,,,,,,,,,,,,,Web Report,Treatment,,,Profuse re-sprouting! Cut re-sprouts and sprayed the stumps with Pathfinder II herbicide.,,,,Verified,,
"2416127","9316963",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-12-12,03-04-13,,"Moore, North Carolina, United States","  35.22029"," -79.29188",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Cut sapling and sprayed stump with Pathfinder II herbicide.,,,,Verified,,
"2416179","9318045",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,07-30-13,02-24-15,02-24-15,"Moore, North Carolina, United States","  35.28206"," -79.49715",WGS84,,,0.01,,,,,,,,,,,,,,Web Report,Treatment,,,Cut saplings down and sprayed the stumps with Pathfinder II herbicide.,,,,Verified,,
"2416181","9318054",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,08-23-13,02-24-15,02-24-15,"Moore, North Carolina, United States","  35.36405"," -79.57476",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Cut saplings down and sprayed the stumps with Pathfinder II herbicide.,,,,Verified,,
"2416499","9318057",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,08-23-13,02-24-15,02-24-15,"Moore, North Carolina, United States","  35.36035"," -79.58755",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Cut saplings down and sprayed the stumps with Pathfinder II herbicide.,,,,Verified,,
"2416500","9317208",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,08-28-12,05-07-14,,"Moore, North Carolina, United States","  35.25803"," -79.54070",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Saplings cut and stumps sprayed with Pathfinder II herbicide.,,,,Verified,,
"2416500","9317209",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,08-30-13,05-07-14,,"Moore, North Carolina, United States","  35.25803"," -79.54070",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Re-sprouts cut and stumps sprayed with Pathfinder II herbicide.,,,,Verified,,
"2416501","9317210",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,08-28-12,05-07-14,,"Moore, North Carolina, United States","  35.25834"," -79.53939",WGS84,,,0.01,,,,,,,,,,,,,,Web Report,Treatment,,,Saplings cut and stumps sprayed with Pathfinder II herbicide.,,,,Verified,,
"2416501","9317211",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,08-30-13,05-07-14,,"Moore, North Carolina, United States","  35.25834"," -79.53939",WGS84,,,0.01,,,,,,,,,,,,,,Web Report,Treatment,,,Re-sprouts cut and stumps sprayed with Pathfinder II herbicide.,,,,Verified,,
"2416502","9317212",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,08-28-12,05-07-14,,"Moore, North Carolina, United States","  35.25775"," -79.53877",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Saplings cut and stumps sprayed with Pathfinder II herbicide.,,,,Verified,,
"2416502","9317213",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,08-30-13,05-07-14,,"Moore, North Carolina, United States","  35.25775"," -79.53877",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Re-sprouts cut and stumps sprayed with Pathfinder II herbicide.,,,,Verified,,
"2416503","9317214",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,08-28-12,05-07-14,,"Moore, North Carolina, United States","  35.25747"," -79.53787",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Saplings cut and stumps sprayed with Pathfinder II herbicide.,,,,Verified,,
"2416503","9317215",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,08-30-13,05-07-14,,"Moore, North Carolina, United States","  35.25747"," -79.53787",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Re-sprouts cut and stumps sprayed with Pathfinder II herbicide.,,,,Verified,,
"2416504","9317216",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,08-28-12,05-07-14,,"Moore, North Carolina, United States","  35.25813"," -79.53809",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Saplings cut and stumps sprayed with Pathfinder II herbicide.,,,,Verified,,
"2416505","9317219",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,08-28-12,05-07-14,,"Moore, North Carolina, United States","  35.25611"," -79.53772",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Saplings cut and stumps sprayed with Pathfinder II herbicide.,,,,Verified,,
"2416506","9317206",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,08-28-12,05-07-14,,"Moore, North Carolina, United States","  35.25735"," -79.54084",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Saplings cut and stumps sprayed with Pathfinder II herbicide.,,,,Verified,,
"2416506","9317207",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,08-30-13,05-07-14,,"Moore, North Carolina, United States","  35.25735"," -79.54084",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Re-sprouts cut and stumps sprayed with Pathfinder II herbicide.,,,,Verified,,
"2416507","9317204",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,08-28-12,05-07-14,,"Moore, North Carolina, United States","  35.25691"," -79.54128",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Saplings cut and stumps sprayed with Pathfinder II herbicide.,,,,Verified,,
"2416507","9317205",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,08-30-13,05-07-14,,"Moore, North Carolina, United States","  35.25691"," -79.54128",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Re-sprouts cut and stumps sprayed with Pathfinder II herbicide.,,,,Verified,,
"2416508","9317287",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-07-12,05-14-14,,"Moore, North Carolina, United States","  35.24482"," -79.54806",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Cut saplings and sprayed the stumps with Pathfinder II herbicide.,,,,Verified,,
"2416508","9317288",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-20-13,05-14-14,,"Moore, North Carolina, United States","  35.24482"," -79.54806",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Cut re-sprouts and sprayed the stumps with Pathfinder II herbicide.,,,,Verified,,
"2416509","9317286",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-07-12,05-14-14,,"Moore, North Carolina, United States","  35.24389"," -79.54174",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Cut saplings and sprayed the stumps with Pathfinder II herbicide.,,,,Verified,,
"2416510","9317292",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-26-12,05-14-14,,"Moore, North Carolina, United States","  35.25224"," -79.54003",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Cut saplings and sprayed the stumps with Pathfinder II herbicide.,,,,Verified,,
"2416510","9317293",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,03-30-13,05-14-14,,"Moore, North Carolina, United States","  35.25224"," -79.54003",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Cut re-sprouts and sprayed the stumps with Pathfinder II herbicide.,,,,Verified,,
"2416511","9317295",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-26-12,05-14-14,,"Moore, North Carolina, United States","  35.25095"," -79.54133",WGS84,,,0.01,,,,,,,,,,,,,,Web Report,Treatment,,,Cut saplings and sprayed the stumps with Pathfinder II herbicide.,,,,Verified,,
"2416512","9317294",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-26-12,05-14-14,,"Moore, North Carolina, United States","  35.25151"," -79.54109",WGS84,,,,,,,,,,,,,,,,,Web Report,Treatment,,,Cut sapling and sprayed the stump with Pathfinder II herbicide.,,,,Verified,,
"2416513","9317000",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-05-12,05-17-13,,"Moore, North Carolina, United States","  35.26178"," -79.52614",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Sapling cut and stump sprayed with Pathfinder II herbicide.,,,,Verified,,
"2416514","9317001",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-05-12,05-17-13,,"Moore, North Carolina, United States","  35.25603"," -79.52475",WGS84,,,0.01,,,,,,,,,,,,,,Web Report,Treatment,,,Saplings cut and stumps sprayed with Pathfinder II herbicide.,,,,Verified,,
"2416772","9317195",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,10-11-13,05-07-14,,"Moore, North Carolina, United States","  35.26793"," -79.53010",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Saplings cut and stumps sprayed with triclopyr 4 herbicide.,,,,Verified,,
"2416773","9317196",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,10-11-13,05-07-14,,"Moore, North Carolina, United States","  35.26642"," -79.53163",WGS84,,,0.01,,,,,,,,,,,,,,Web Report,Treatment,,,Saplings cut and stumps treated with triclopyr 4 herbicide.,,,,Verified,,
"2416774","9317197",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,10-11-13,05-07-14,,"Moore, North Carolina, United States","  35.26619"," -79.53337",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Sapling cut and stump treated with triclopyr 4 herbicide.,,,,Verified,,
"2416775","9316999",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-05-12,05-17-13,,"Moore, North Carolina, United States","  35.26465"," -79.53330",WGS84,,,0.01,,,,,,,,,,,,,,Web Report,Treatment,,,Saplings cut and sprayed with Pathfinder II herbicide.,,,,Verified,,
"2416776","9317003",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-05-12,05-17-13,,"Moore, North Carolina, United States","  35.26145"," -79.51267",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Saplings cut and stumps treated with Pathfinder II herbicide.,,,,Verified,,
"2416777","9317002",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-05-12,05-17-13,,"Moore, North Carolina, United States","  35.25948"," -79.51775",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Saplings cut and stumps treated with Pathfinder II herbicide.  Larger trees basal bark treatment with Pathfinder II herbicide.,,,,Verified,,
"2416778","9317298",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-07-12,05-14-14,,"Moore, North Carolina, United States","  35.23980"," -79.56090",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Cut saplings and sprayed the stumps with Pathfinder II herbicide.,,,,Verified,,
"2416778","9317299",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-11-13,05-14-14,,"Moore, North Carolina, United States","  35.23980"," -79.56090",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Cut re-sprouts and sprayed the stumps with Pathfinder II herbicide.,,,,Verified,,
"2641524","9317178",Ken Graeve Minnesota Department of Transportation,Detected,Positive,03-13-14,04-09-14,,"Ramsey, Minnesota, United States","  44.95714"," -93.10357",WGS84,,,0,,,,,,,,,,,,,,Web Report,Monitoring,,,Quick visit to check for spread in previous growing season.,,,,Verified,,
"2646712","9317105",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,10-02-13,10-10-13,,"Hoke, North Carolina, United States","  35.03500"," -79.36937",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Cut plant and treated stem with Pathfinder II herbicide.,,,,Verified,,
"2646871","9317274",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-04-12,05-14-14,,"Moore, North Carolina, United States","  35.24676"," -79.53882",WGS84,,,0.01,,,,,,,,,,,,,,Web Report,Treatment,,,Cut saplings and sprayed the stumps with Pathfinder II herbicide.,,,,Verified,,
"2646871","9317275",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,08-30-13,05-14-14,,"Moore, North Carolina, United States","  35.24676"," -79.53882",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Cut re-sprouts and sprayed the stumps with Pathfinder II herbicide.,,,,Verified,,
"2647034","9316938",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-10-12,03-04-13,,"Moore, North Carolina, United States","  35.14305"," -79.36453",WGS84,,,0.01,,,,,,,,,,,,,,Web Report,Treatment,,,Cut trees and saplings and sprayed stumps with Pathfinder II herbicide.,,,,Verified,,
"2647034","9317405",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-05-13,05-28-14,,"Moore, North Carolina, United States","  35.14305"," -79.36453",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Cut re-sprouts and sprayed the stumps with Pathfinder II herbicide.,,,,Verified,,
"2647254","9317247",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,08-29-12,05-14-14,,"Moore, North Carolina, United States","  35.20442"," -79.65310",WGS84,,,0.01,,,,,,,,,,,,,,Web Report,Treatment,,,Cut saplings and sprayed the stumps with Pathfinder II herbicide.,,,,Verified,,
"2647254","9317248",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-19-13,05-14-14,,"Moore, North Carolina, United States","  35.20442"," -79.65310",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Cut re-sprouts and sprayed the stumps with Pathfinder II herbicide.,,,,Verified,,
"2647255","9317246",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,08-29-12,05-14-14,,"Moore, North Carolina, United States","  35.20444"," -79.65782",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Cut saplings and sprayed the stumps with Pathfinder II herbicide.,,,,Verified,,
"2647257","9318174",Tracy Rush NC Sandhills Weed Management Area,Detected,Positive,07-31-13,07-05-15,07-05-15,"Moore, North Carolina, United States","  35.16911"," -79.38313",WGS84,,,0.01,,,,,,,,,,,,,,Web Report,Treatment,,,Trees cut and stumps sprayed with Pathfinder II herbicide.,,,,Verified,,
"2647261","9317383",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,10-22-13,05-14-14,,"Moore, North Carolina, United States","  35.34841"," -79.56926",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Cut trees/saplings and sprayed the stumps with triclopyr 4 herbicide.,,,,Verified,,
"2647361","9318184",Tracy Rush NC Sandhills Weed Management Area,Detected,Positive,09-17-13,07-05-15,07-05-15,"Moore, North Carolina, United States","  35.17224"," -79.38548",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Foliar treatment with 2% triclopyr 3 herbicide solution. Return visit on 10-4-2013 to treat missed plants.,,,,Verified,,
"2647362","9318183",Tracy Rush NC Sandhills Weed Management Area,Detected,Positive,09-17-13,07-05-15,07-05-15,"Moore, North Carolina, United States","  35.17161"," -79.38549",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Foliar treatment with 2% triclopyr 3 herbicide solution. Return visit on 10-4-2013 to treat missed plants.,,,,Verified,,
"2647363","9317278",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-04-12,05-14-14,,"Moore, North Carolina, United States","  35.24712"," -79.53362",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Cut saplings and sprayed the stumps with Pathfinder II herbicide.,,,,Verified,,
"2647363","9317279",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,08-30-13,05-14-14,,"Moore, North Carolina, United States","  35.24712"," -79.53362",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Cut re-sprouts and sprayed the stumps with Pathfinder II herbicide.,,,,Verified,,
"2647364","9317276",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-04-12,05-14-14,,"Moore, North Carolina, United States","  35.24711"," -79.53677",WGS84,,,0.01,,,,,,,,,,,,,,Web Report,Treatment,,,Cut saplings and sprayed the stumps with Pathfinder II herbicide.,,,,Verified,,
"2647364","9317277",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,08-30-13,05-14-14,,"Moore, North Carolina, United States","  35.24711"," -79.53677",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Cut re-sprouts and sprayed the stumps with Pathfinder II herbicide.,,,,Verified,,
"2647426","9317374",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,10-22-13,05-14-14,,"Moore, North Carolina, United States","  35.33577"," -79.57552",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Cut saplings and sprayed the stumps with triclopyr 4 herbicide.,,,,Verified,,
"2647440","9317370",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,10-22-13,05-14-14,,"Moore, North Carolina, United States","  35.34127"," -79.54981",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Cut trees/saplings and sprayed the stumps with triclopyr 4 herbicide.,,,,Verified,,
"2647781","9317391",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,10-22-13,05-14-14,,"Moore, North Carolina, United States","  35.34765"," -79.55885",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Basal bark treatment with triclopyr 4 herbicide.,,,,Verified,,
"2647793","9317579",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,10-08-12,05-28-14,,"Moore, North Carolina, United States","  35.22525"," -79.54046",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Cut saplings and sprayed the stumps with Pathfinder II herbicide.,,,,Verified,,
"2647795","9317567",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,10-09-12,05-28-14,,"Moore, North Carolina, United States","  35.21676"," -79.52188",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Sapling cut and stump sprayed with Pathfinder II herbicide.,,,,Verified,,
